epochs,lr,decay_rate,error
5000,1e-05,1e-06,0.0010652618112967
5000,0.0001,1e-06,0.0013313622987642
2500,0.0001,1e-05,0.0037867449026862
5000,0.0001,1e-05,0.0037867449044511
2500,1e-05,1e-05,0.0047736612051923
5000,1e-05,1e-05,0.0048861988831353
2500,1e-05,1e-06,0.0050278636087262
1000,0.0001,1e-05,0.0094785159764958
5000,0.0001,0.0001,0.0104670537754403
2500,0.0001,0.0001,0.01046706172868
1000,0.0001,0.0001,0.0104670824292935
500,0.0001,0.0001,0.0104689770207762
1000,1e-05,1e-05,0.0120445887212712
1000,0.0001,0.001,0.0284684645191299
2500,0.0001,0.001,0.0285937471830231
5000,1e-05,1e-07,0.0291029320470892
500,0.0001,0.001,0.0314018494805395
100,0.0001,0.001,0.0347448815228413
2500,0.0001,1e-06,0.0451485182105106
500,1e-05,1e-05,0.0568608524472843
1000,1e-05,1e-06,0.0615104661434863
2500,1e-05,1e-07,0.073872912120154
5000,1e-05,0.0001,0.0889297532519571
500,1e-05,1e-06,0.0897904857262185
1000,1e-05,1e-07,0.0958654814523551
500,1e-05,1e-07,0.0999044946022747
500,1e-05,0.0001,0.1000388479449449
100,0.0001,0.01,0.1240023984057905
1000,1e-05,0.0001,0.1266234453165506
2500,1e-05,0.0001,0.1279809978867331
500,0.0001,0.01,0.1677356624362916
50,0.0001,0.01,0.1695118540378269
2500,0.0001,0.01,0.1815638499776744
1000,0.0001,0.01,0.1884188105314584
100,1e-05,1e-06,0.2074584792655437
100,1e-05,1e-05,0.2093957598438307
100,1e-05,0.0001,0.2642584445833852
100,1e-05,1e-07,0.2691404682588643
5000,0.0001,1e-07,0.2846684980997779
500,0.0001,1e-05,0.287484440482974
50,0.0001,0.001,0.317783012859824
1000,0.0001,1e-06,0.5869721735641571
100,0.0001,0.0001,0.5954904688241974
2500,0.0001,1e-07,0.7017389955736468
50,1e-05,1e-07,0.7463585340979252
50,1e-05,0.0001,0.7925430905709518
500,0.0001,1e-06,0.8524125365225936
50,0.0001,0.0001,0.8528086044103813
10,0.0001,0.01,0.9054037034474836
1000,0.0001,1e-07,0.9237094424105092
100,0.0001,1e-05,0.9251097323331474
50,1e-05,1e-06,0.949429280977964
500,1e-05,0.001,0.9526675584464362
500,0.0001,1e-07,0.9618360357791924
50,0.0001,1e-05,0.963720017598216
50,0.0001,1e-06,0.9695686549398772
100,0.0001,1e-06,0.9699097678955942
100,0.0001,1e-07,0.9747891925399582
50,0.0001,1e-07,0.9784298629449546
50,1e-05,1e-05,1.022338710607898
5000,1e-05,0.001,1.025309851147901
10,0.0001,0.0001,1.0790909603430774
10,0.0001,0.001,1.1126626235711612
10,0.0001,1e-07,1.1756517814172698
10,0.0001,1e-06,1.1864740565414764
2500,1e-05,0.001,1.216985855617896
10,0.0001,1e-05,1.2388300004605728
1000,1e-05,0.001,1.2468483954785186
50,1e-05,0.001,1.5145185397224243
100,1e-05,0.001,1.5197142791730602
5000,1e-05,0.01,4.800579330273285
2500,1e-05,0.01,5.299464385862135
500,1e-05,0.01,5.744870369151613
50,1e-05,0.01,6.429117821589951
1000,1e-05,0.01,7.31439833971049
100,1e-05,0.01,9.226009963951856
10,1e-05,0.001,12.745050418001256
10,1e-05,1e-06,15.001900039680637
10,1e-05,1e-05,16.358553438738515
10,1e-05,1e-07,16.57889497785398
10,1e-05,0.0001,17.14816570737719
10,1e-05,0.01,24.177665154226908
